country,Population2000,Population2010,Population2020,Population2030,UrbanPopulation_10YearLag2000,UrbanPopulation_10YearLag2010,UrbanPopulation_10YearLag2020,UrbanPopulation_10YearLag2030,UrbanPopulation_20YearLag2000,UrbanPopulation_20YearLag2010,UrbanPopulation_20YearLag2020,UrbanPopulation_20YearLag2030,UrbanPopulation2000,UrbanPopulation2010,UrbanPopulation2020,UrbanPopulation2030
Libya,6075384,7651289,7845431,8718331,491390,690013,375993,151893,964285,1309623,1052738,531618,3331973,4511037,4720499,5259833
Tunisia,12186763,13418036,14981843,16140900,809943,394254,438968,223489,1345506,1400332,941917,690564,6929669,7988975,9500940,10476165
Egypt,82076761,100359815,123590644,143730096,4447206,4140520,4716492,2316796,10434622,9982339,10594776,8334270,68832140,86457596,106620118,124976547
Algeria,37860477,44083698,53383935,61122016,2819810,2699835,2239362,1395246,5644607,6467261,5735268,3826260,22894221,28601347,36195229,42533363
Namibia,1950120,2253265,2671565,3129645,89181,45298,77478,52839,164675,147841,137871,151856,516799,712422,961765,1248126
Swaziland,1151222,1228687,1317356,1457406,87110,21720,15486,11661,186196,94187,30087,13258,279247,273109,224182,203630
Lesotho,2299497,2324102,2587892,2872117,89918,51494,94712,75978,236853,128590,143065,167810,628541,644235,745863,857450
South Africa,53284985,58950857,66931986,73606869,2403138,1673146,1458900,1222494,6539753,4082478,3242469,2691215,32579904,38448312,46241709,52791683
Botswana,1875357,2270651,2766838,3232127,244201,132600,98548,65203,348775,408779,264721,171803,1069596,1309413,1594591,1864138
Togo,4983089,6545128,8423471,10536069,467984,584726,342766,268944,898572,1363950,1217531,615296,2979037,4173852,5264527,6529873
Sierra Leone,4626146,6492359,8308604,10198533,144881,440516,328680,251448,269940,653081,906878,613977,2056295,3190509,4514384,5734875
Senegal,10013809,12925783,16953261,21785879,544418,635323,712030,665522,1014269,1363952,1636377,1426847,6360728,8409716,10921428,14031010
Nigeria,124557117,163033962,210942024,265836454,7579384,13513397,10450292,10561454,16374839,23552818,28710013,21874196,83321849,112798705,146039438,183883501
Niger,11964667,17117381,25011641,36188872,803901,1083487,1400181,2885023,1654371,2224196,2878942,4296198,5604349,8216073,11155746,16986968
Mauritania,2806416,3564099,4692107,6080252,361195,256135,203529,132162,618036,676640,588464,381079,1258193,1819791,2584890,3664734
Mali,11546444,15972241,21826349,29526915,546023,783862,1088145,1250863,957221,1565362,2132129,2614745,3923918,6207113,9382225,13887557
Liberia,2914748,4046187,5121930,6319822,138272,267991,122975,110785,148030,466734,479787,238519,1409199,2059118,2805266,3647696
Guinea-Bissau,1257163,1599563,2058411,2538068,44270,58703,66860,41226,110064,124720,153529,122701,547148,753699,1021618,1310114
Gambia,1489231,2014120,2680832,3399912,117498,165531,139671,77258,171297,359900,383973,249428,829690,1273096,1876603,2481426
Guinea,8474928,10436645,13424545,16896683,445628,585760,660397,436383,765842,1217138,1658156,1267356,3492646,4808818,6704190,9138403
Ghana,19884297,25861338,32530956,39183352,1758544,2127418,1219476,712383,3398729,4530091,4042702,2049257,12151217,17239403,22642249,27407788
Cape Verde,430199,492129,558631,618825,65766,30275,45471,9631,68645,97350,79251,70821,287018,337608,399297,450825
Côte d'Ivoire,16941272,21288935,27008109,34458072,1151871,1272589,1550695,1257986,2228281,2747656,3318403,3041704,9341424,12377424,16646518,21668184
Burkina Faso,12166870,16485915,22010187,28133462,974909,1191337,1146320,1047309,1787224,2616154,2761093,2331060,4819413,7207523,9713200,13012561
Benin,7053176,9514411,12734626,16505739,472009,932332,818895,620040,908976,1524287,2154505,1585221,3876626,5531031,7670088,9939309
Brazil,186340519,207854104,225495688,236690966,5882529,4993623,3299131,2104289,14486217,11484320,8723562,5477213,130190235,149609837,165634878,175264511
Turkmenistan,5879333,6777450,8037455,9045706,511363,404997,362071,290799,854142,919337,800913,656654,2972961,3654300,4517852,5311603
Uzbekistan,32816058,37642281,44073801,50342848,2439230,2190685,2452141,1962580,4869350,4749275,4873338,4517277,18791155,22413075,26988826,31392396
Tajikistan,8056048,9783535,12246436,14664634,580064,781019,871573,711392,1284957,1390110,1758030,1588755,4239073,5622742,7305678,9132745
Kyrgyzstan,6515565,7249169,8512148,9859926,247449,248059,318745,303526,622614,510418,605867,646003,3884543,4391264,5203242,6228027
Kazakhstan,22764721,24638246,27923593,30916930,941951,1752906,1239151,667592,1841778,2681233,3726056,2053263,12799601,15091892,18354792,20879477
Mongolia,3653295,4031029,4914548,5569122,124937,93978,130886,92178,333147,215370,254206,244514,1862301,2324599,3176877,3748131
Republic of Korea,56896194,59367631,63040714,62431056,2851772,2243846,1335809,404460,5294636,5902267,4044512,1679834,46413803,49031013,51997723,51313073
Dem People's Rep of Korea,29890454,31548436,32973377,33847987,438504,457892,991460,445475,1220397,945061,1416039,1391405,24360362,25551006,26128704,26466992
China,1509702566,1608452877,1698713172,1686651377,99324622,77691161,59108591,29642512,183776591,180676323,136884213,80213040,879020278,962596949,1035425652,1031761354
Myanmar,47564295,51546309,55747718,59477090,3231175,2180277,1963744,1450989,7898435,5833628,4175488,3215805,29415496,30876106,33086846,36065757
Cambodia,12372916,14623067,16653233,18336673,1453508,963326,1431567,1879643,2619833,2333295,2430505,4821769,4675233,5444905,6865632,9603243
Viet Nam,82391671,90982836,100407355,106500363,7797130,4830509,2965870,1993935,14957707,13251759,8024593,4699601,43279024,50272516,56909025,61073986
Lao People's Democratic Republic,5695174,6636744,7682207,8733030,297426,290530,330937,413618,494731,594437,608558,740719,974323,1300497,1616258,1920554
Malaysia,22621971,28335259,32782691,36236816,2920960,1550075,1117142,681554,4649269,5229602,2962278,1855602,14201692,18735827,22692016,25548281
Thailand,65308628,70683456,74053652,74708012,5010393,3067981,2275321,1978570,8173094,8368040,5149924,4037604,25640257,30559202,34654551,37502668
Brunei Darussalam,337229,400266,445845,478052,60020,44323,32341,15890,80505,114052,80363,50901,144885,203770,249974,272061
Philippines,76952121,93676039,111199716,128351710,5572742,5804694,6049161,6224133,10687036,11132058,11751746,12385618,42503493,53454470,66214906,80442632
Indonesia,212391051,241848078,269057902,288818575,9557503,7970480,5985424,5526264,22588803,18917390,14885016,11272894,137030280,158695843,177437250,190850448
Singapore,4008951,5104718,5838524,6171572,36430,5776,703,11645,66017,83982,7740,14228,3999829,5097543,5827888,6165350
Timor-Leste,884817,1096748,1309171,1504896,19183,36844,67144,20874,59497,52406,113803,72858,267519,356270,548419,676413
Maldives,240557,302625,423407,416126,4204,4841,5485,1083,18540,4841,13130,6853,92091,131200,218954,217800
Nepal,27649678,30574046,33028242,37294588,3008293,2890626,2477129,2525851,4161950,5322495,5121759,4992506,9776670,11475611,13804047,17715674
Pakistan,175108636,221053827,258744302,312503848,11773685,10680870,8736805,12603899,26130583,23369111,17769949,19927255,107066324,137422980,153025965,184785925
India,1139447807,1334454317,1501880268,1629138309,66160504,63902560,69496203,59544127,136833757,140091317,132063879,124860541,646302285,779187551,848249625,929540874
